date,portfolio_value,benchmark_value
2026-05-08,10000.0,13095.36
2026-05-08,10000.0,13095.36
2026-05-08,10000.0,13095.36
2026-05-08,10086.74,13185.94
2026-05-08,10016.64,13194.8
2026-05-08,10124.1,13204.55
2026-05-08,10132.21,13200.44
2026-05-08,10168.11,13220.32
2026-05-08,10168.11,13220.32
2026-05-08,10168.11,13220.32
2026-05-08,10168.11,13220.32
2026-05-11,9950.6,12826.55
2026-05-12,9786.58,12723.09
2026-05-13,10065.67,12777.95
2026-05-14,10209.9,12816.22
2026-05-15,9886.25,12582.35
2026-05-18,9736.79,12559.77
2026-05-19,9615.73,12518.19
2026-05-20,9792.84,12638.99
