date,ticker,action,shares,price,value,reason
2026-06-08,TSM,BUY,8.028839,415.17,3333.33,"New entry — rank #1 (+23.1% 90d momentum, rank #1)"
2026-06-08,AAPL,BUY,10.845752,307.34,3333.33,"New entry — rank #2 (+19.2% 90d momentum, rank #2)"
2026-06-08,SHEL,BUY,39.032006,85.4,3333.33,"New entry — rank #3 (+15.3% 90d momentum, rank #3)"
2026-06-08,ASML,BUY,1.949983,1741.25,3395.41,"New entry — rank #2 (+22.8% 90d momentum, rank #2)"
2026-06-08,SHEL,SELL,39.032006,86.295,3368.27,"Dropped from top 3 (rank #4, +16.0%)"
2026-06-08,AAPL,BUY,0.244645,302.41,73.98,"Add to position — rank #3 (+18.1% 90d momentum, rank #3)"
2026-06-15,ASML,SELL,0.09547,1905.55,181.92,"Trim to equal weight (+42.8% 90d momentum, rank #1)"
2026-06-15,NVDA,BUY,16.403078,212.08,3478.76,"New entry — rank #3 (+21.9% 90d momentum, rank #3)"
2026-06-15,AAPL,SELL,11.14287,296.025,3298.57,"Dropped from top 3 (rank #7, +7.3%)"
2026-06-22,ASML,BUY,0.025849,1891.999,48.91,"Add to position — rank #1 (+34.1% 90d momentum, rank #1)"
2026-06-22,TSM,SELL,0.32732,466.89,152.82,"Trim to equal weight (+29.7% 90d momentum, rank #2)"
2026-06-22,EEM,BUY,49.420073,71.225,3519.94,"New entry — rank #3 (+18.1% 90d momentum, rank #3)"
2026-06-22,NVDA,SELL,16.343851,209.01,3416.03,"Dropped from top 3 (rank #5, +11.0%)"
2026-06-22,ASML,SELL,0.02306,1929.25,44.49,"Trim to equal weight (+36.8% 90d momentum, rank #1)"
2026-06-22,TSM,BUY,0.040485,467.67,18.93,"Add to position — rank #2 (+29.9% 90d momentum, rank #2)"
2026-06-22,EEM,BUY,0.358875,71.21,25.56,"Add to position — rank #3 (+18.1% 90d momentum, rank #3)"
2026-06-29,ASML,SELL,0.018165,1872.42,34.01,"Trim to equal weight (+27.8% 90d momentum, rank #1)"
2026-06-29,TSM,SELL,0.057254,452.827,25.93,"Trim to equal weight (+25.6% 90d momentum, rank #2)"
2026-06-29,AMZN,BUY,14.131212,241.05,3406.33,"New entry — rank #3 (+17.7% 90d momentum, rank #3)"
2026-06-29,EEM,SELL,49.778954,67.225,3346.39,"Dropped from top 3 (rank #5, +10.4%)"
2026-06-29,ASML,SELL,0.003772,1876.97,7.08,"Trim to equal weight (+28.1% 90d momentum, rank #1)"
2026-06-29,TSM,BUY,0.036563,450.795,16.48,"Add to position — rank #2 (+25.1% 90d momentum, rank #2)"
2026-06-29,AMZN,SELL,0.038881,241.8,9.4,"Trim to equal weight (+18.1% 90d momentum, rank #3)"
2026-06-29,ASML,SELL,0.002327,1883.11,4.38,"Trim to equal weight (+28.5% 90d momentum, rank #1)"
2026-06-29,TSM,SELL,0.056638,455.1,25.78,"Trim to equal weight (+26.3% 90d momentum, rank #2)"
2026-06-29,AMZN,BUY,0.125587,240.14,30.16,"Add to position — rank #3 (+17.3% 90d momentum, rank #3)"
2026-07-06,NVO,BUY,69.231802,49.3198,3414.5,"New entry — rank #1 (+32.5% 90d momentum, rank #1)"
2026-07-06,ASML,BUY,0.034919,1847.64,64.52,"Add to position — rank #2 (+23.6% 90d momentum, rank #2)"
2026-07-06,TSM,SELL,0.002263,455.265,1.03,"Trim to equal weight (+18.6% 90d momentum, rank #3)"
2026-07-06,AMZN,SELL,14.217919,244.62,3477.99,"Dropped from top 3 (rank #5, +17.3%)"
2026-07-06,NVO,SELL,0.160851,49.365,7.94,"Trim to equal weight (+32.6% 90d momentum, rank #1)"
2026-07-06,ASML,BUY,0.005341,1839.72,9.83,"Add to position — rank #2 (+23.1% 90d momentum, rank #2)"
2026-07-06,TSM,SELL,0.004146,454.875,1.89,"Trim to equal weight (+18.5% 90d momentum, rank #3)"
2026-07-06,NVO,SELL,0.242061,49.26,11.92,"Trim to equal weight (+32.3% 90d momentum, rank #1)"
2026-07-06,ASML,BUY,0.00437,1825.0699,7.98,"Add to position — rank #2 (+22.1% 90d momentum, rank #2)"
2026-07-06,GOOGL,BUY,9.252063,366.46,3390.51,"New entry — rank #3 (+18.0% 90d momentum, rank #3)"
2026-07-06,TSM,SELL,7.495878,451.79,3386.56,"Dropped from top 3 (rank #4, +17.7%)"
