date,ticker,action,shares,price,value,reason
2026-05-08,ASML,BUY,2.197899,1516.6,3333.33,"New entry — rank #1 (+41.9% 90d momentum, rank #1)"
2026-05-08,TSM,BUY,8.048614,414.15,3333.33,"New entry — rank #2 (+37.1% 90d momentum, rank #2)"
2026-05-08,GOOGL,BUY,8.37542,397.99,3333.33,"New entry — rank #3 (+27.0% 90d momentum, rank #3)"
2026-05-08,ASML,SELL,0.03593,1555.1775,55.88,"Trim to equal weight (+46.4% 90d momentum, rank #1)"
2026-05-08,TSM,BUY,0.093798,412.93,38.73,"Add to position — rank #2 (+37.6% 90d momentum, rank #2)"
2026-05-08,GOOGL,BUY,0.042928,399.395,17.15,"Add to position — rank #3 (+27.5% 90d momentum, rank #3)"
2026-05-08,ASML,SELL,0.007831,1549.985,12.14,"Trim to equal weight (+45.9% 90d momentum, rank #1)"
2026-05-08,TSM,BUY,0.049152,407.6,20.03,"Add to position — rank #2 (+35.8% 90d momentum, rank #2)"
2026-05-08,GOOGL,SELL,0.019861,397.5575,7.9,"Trim to equal weight (+26.9% 90d momentum, rank #3)"
2026-05-08,ASML,SELL,0.03049,1589.105,48.45,"Trim to equal weight (+49.6% 90d momentum, rank #1)"
2026-05-08,TSM,BUY,0.057722,409.09,23.61,"Add to position — rank #2 (+36.3% 90d momentum, rank #2)"
2026-05-08,GOOGL,BUY,0.062271,398.865,24.84,"Add to position — rank #3 (+27.3% 90d momentum, rank #3)"
2026-05-08,ASML,BUY,0.008241,1584.23,13.06,"Add to position — rank #1 (+49.1% 90d momentum, rank #1)"
2026-05-08,TSM,BUY,0.004185,409.21,1.71,"Add to position — rank #2 (+36.4% 90d momentum, rank #2)"
2026-05-08,GOOGL,SELL,0.036836,400.93,14.77,"Trim to equal weight (+28.0% 90d momentum, rank #3)"
2026-05-08,ASML,SELL,0.002915,1592.02,4.64,"Trim to equal weight (+49.9% 90d momentum, rank #1)"
2026-05-08,TSM,SELL,0.020453,411.68,8.42,"Trim to equal weight (+37.2% 90d momentum, rank #2)"
2026-05-08,GOOGL,BUY,0.032587,400.8,13.06,"Add to position — rank #3 (+27.9% 90d momentum, rank #3)"
2026-05-11,ASML,SELL,0.00084,1562.441,1.31,"Trim to equal weight (+46.2% 90d momentum, rank #1)"
2026-05-11,TSM,SELL,0.007804,404.255,3.15,"Trim to equal weight (+35.3% 90d momentum, rank #2)"
2026-05-11,GOOGL,BUY,0.011375,392.67,4.47,"Add to position — rank #3 (+25.2% 90d momentum, rank #3)"
2026-05-11,TSM,SELL,0.012851,404.84,5.2,"Trim to equal weight (+35.5% 90d momentum, rank #2)"
2026-05-11,GOOGL,BUY,0.013584,391.995,5.32,"Add to position — rank #3 (+25.0% 90d momentum, rank #3)"
2026-05-11,ASML,SELL,0.009749,1565.8101,15.26,"Trim to equal weight (+46.6% 90d momentum, rank #1)"
2026-05-11,TSM,SELL,0.013258,404.54,5.36,"Trim to equal weight (+35.4% 90d momentum, rank #2)"
2026-05-11,GOOGL,BUY,0.053078,388.64,20.63,"Add to position — rank #3 (+23.9% 90d momentum, rank #3)"
2026-05-12,ASML,BUY,0.044133,1483.0,65.45,"Add to position — rank #1 (+39.1% 90d momentum, rank #1)"
2026-05-12,TSM,BUY,0.046546,388.92,18.1,"Add to position — rank #2 (+28.3% 90d momentum, rank #2)"
2026-05-12,GOOGL,SELL,0.216713,385.545,83.55,"Trim to equal weight (+23.3% 90d momentum, rank #3)"
